	Sz	hEndo	hPeric	hMgl	hOPC	hRgl2c	hRgl2b	hRgl2a	hRgl3	hRgl1	hProgM	hProgBP	hProgFPL	hProgFPM	hNProg	hNbM	hNbML1	hRN	hNbML5	hDA0	hDA1	hDA2	hNbGaba	hGaba	hSert	hOMTN
SPIB	0.8782	1.2703	1.9445	1.2969	1.1785	1.2383	0.977	1.4411	1.3144	2.4164	1.1728	1.0016	1.3903	0.9941	0.9061	1.8705	1.1372	1.0358	0.9745	1.0014	2.5912	1.1023	1.1356	0.9724	1.6374	1.1418
SPICE1	0.1045	0.1264	0.2227	0.0966	0.1648	0.1445	0.197	0.2652	0.3136	0.2383	0.3223	0.1255	0.2481	0.1281	0.1667	0.1163	0.0865	0.0673	0.11	0.1542	0.1112	0.0757	0.1142	0.0618	0.1858	0.1817
SPIDR	0.2596	0.2019	0.1614	0.3418	0.2569	0.2458	0.138	0.2014	0.2208	0.2105	0.3177	0.1784	0.3127	0.1812	0.1547	0.1734	0.2587	0.1841	0.1526	0.1406	0.2098	0.174	0.2544	0.1922	0.3513	0.2975
SPIN1	1.4357	0.9587	0.7994	0.8387	0.8396	0.9455	0.7593	1.0555	1.059	1.015	0.8456	0.7204	1.0905	0.7119	0.5644	1.0859	0.7724	0.8567	0.7636	0.9428	1.4691	0.8913	1.3023	0.8994	1.4162	1.4554
SPIN2A	0.9851	1.5249	2.2375	1.3607	1.3674	1.3689	1.2479	1.416	1.5776	1.3832	1.4077	1.2636	1.5812	1.2637	1.0869	1.2418	1.2881	1.2492	1.221	1.153	1.3866	1.3351	1.2541	1.1274	1.7734	2.6292
SPIN2B	0.0608	0.0804	0.0687	0.1201	0.2412	0.1667	0.1265	0.0581	0.0909	0.0742	0.141	0.1193	0.0902	0.0836	0.0964	0.055	0.084	0.1889	0.0899	0.0623	0.0727	0.145	0.1706	0.055	0.2375	0.1336
SPIN3	0.1177	0.1067	0.0992	0.1047	0.1991	0.1461	0.103	0.153	0.1813	0.0999	0.134	0.1167	0.1065	0.0857	0.0938	0.1357	0.1874	0.1257	0.1838	0.1543	0.1423	0.1015	0.3019	0.198	0.3741	0.2481
SPIN4	0.1646	0.1651	0.137	0.1302	0.1565	0.1423	0.1209	0.1306	0.1369	0.2248	0.2088	0.156	0.1821	0.1011	0.1492	0.1004	0.1636	0.2328	0.18	0.1027	0.4209	0.5327	0.4399	0.3267	0.3754	0.3043
SPINK5	0.6754	1.0651	0.8198	1.0769	1.0655	1.0983	0.9395	1.2191	1.1552	1.1229	0.9213	1.3404	2.0012	0.8377	1.477	5.4128	0.9437	0.9384	0.8993	0.8651	1.1599	0.9274	0.9973	0.8019	1.2949	1.0455
SPINK8	0.1494	47.3074	0.3868	0.6131	0.5905	0.5864	1.3158	0.414	0.5685	0.619	0.4701	0.404	0.5442	0.4693	0.4228	0.4187	0.5019	0.5308	0.5155	0.5308	0.5636	0.5358	0.5263	0.5311	0.6974	0.4751
SPINT1	0.4406	1.6422	0.6801	2.5439	0.8378	0.8884	0.7417	0.7734	0.9802	0.906	0.8417	0.7868	0.9273	0.7044	0.6478	0.7587	0.8154	0.7925	0.7531	0.6927	2.411	2.1427	0.8478	0.7262	1.1179	1.663
SPINT2	0.107	0.1189	0.0949	0.4834	0.1251	0.0913	0.0626	0.1537	0.1322	0.2583	0.0778	0.0866	0.1483	0.1466	0.0516	0.1644	0.4524	0.1606	0.3237	0.3598	0.8384	0.7715	0.5098	0.4627	1.8667	0.8702
SPIRE1	0.2915	0.2735	0.2563	0.3065	0.4436	0.3308	0.3283	0.4479	0.2301	0.2536	0.2129	0.17	0.3726	0.1662	0.2083	0.1819	0.347	0.2056	0.1751	0.3202	0.2796	0.1769	0.4845	0.2691	0.4788	0.2437
SPIRE2	0.0099	0.0185	0.0175	0.0837	0.0277	0.0364	0.101	0.0896	0.0609	0.0744	0.0464	0.0347	0.0221	0.024	0.0322	0.0442	0.1007	0.0224	0.0919	0.1594	0.0765	0.0795	0.133	0.0699	0.1985	0.093
SPN	0.4214	1.3335	0.5581	2.8041	0.6737	0.7408	0.8299	0.7587	0.6944	0.644	0.5858	1.3484	0.6851	0.8034	0.6527	0.4887	1.0332	0.5812	0.551	0.4978	0.6873	0.5906	1.4432	0.8551	0.9159	1.1016
SPNS1	0.0524	0.1756	0.069	0.0925	0.1067	0.0883	0.1408	0.1468	0.1485	0.1274	0.0691	0.1062	0.1218	0.0812	0.032	0.0459	0.0472	0.0524	0.0649	0.046	0.0528	0.0783	0.0535	0.0388	0.2934	0.0868
SPNS2	0.0109	0.2307	0.0604	0.1907	0.0317	0.0643	0.0374	0.0437	0.0617	0.0468	0.0408	0.0134	0.036	0.0165	0.0395	0.0554	0.0699	0.1081	0.0202	0.0356	0.1274	0.1108	0.1184	0.0664	0.35	0.097
SPOCK1	0.1944	0.1733	0.1344	0.3407	0.5099	0.2749	0.3037	0.2418	1.2795	0.1733	0.1824	0.1399	0.2696	0.1119	0.2332	0.3185	0.2198	0.4248	0.2494	0.3189	1.5323	0.4466	1.4947	0.9616	1.4262	0.3479
SPOCK2	0.0716	1.258	0.1103	0.0933	0.3632	0.5831	0.3228	0.5537	0.7039	0.0957	0.0955	0.0796	0.0721	0.0677	0.0456	0.075	0.0741	0.082	0.2183	0.2657	0.4243	0.1056	0.5234	0.8084	2.6142	0.1525
SPOCK3	0.0115	0.0479	0.0285	0.0675	0.1016	0.0593	0.0445	0.0357	0.1317	0.0395	0.0283	0.0191	0.0336	0.0409	0.0709	0.0389	0.0309	0.1764	0.4616	0.1107	0.1221	0.1325	0.6287	0.2714	1.4084	0.5542
SPON1	1.1184	0.8541	0.6379	0.6836	1.0417	1.791	2.2286	5.5321	27.7366	4.5673	4.4886	2.0232	4.9047	2.0194	1.1781	0.6046	0.7369	0.5392	0.559	0.6207	0.7618	0.5181	0.5881	0.6325	0.9194	0.9013
SPON2	0.018	0.2987	3.8641	0.1102	0.1984	0.3517	0.0833	0.1518	0.0676	0.2664	0.0519	0.0353	0.194	0.0442	0.0657	0.1578	0.062	0.0709	0.06	0.0516	0.0787	0.167	0.1025	0.0524	0.1633	0.0664
SPOP	1.2787	1.1607	0.7617	0.7751	0.8089	0.877	0.6273	0.8855	0.9936	0.8464	0.712	0.7175	0.8846	0.6115	0.5388	0.7036	0.8613	0.7337	0.5282	0.5152	0.887	0.7036	0.6928	0.6782	1.3364	0.9993
SPOPL	0.0613	0.1605	0.0846	0.1603	0.1156	0.1519	0.1027	0.0801	0.0788	0.3063	0.1576	0.1614	0.1845	0.0886	0.0473	0.0465	0.0808	0.0463	0.0666	0.0473	0.2794	0.0479	0.1334	0.1688	0.151	0.1065
SPP1	0.7116	0.8457	0.6588	41.3497	1.3818	0.6545	0.5064	0.625	0.9148	0.6867	0.9435	0.4607	1.1448	1.8855	0.4832	0.4334	0.4801	0.4794	0.6788	0.5207	0.885	0.88	0.7169	1.2038	0.8772	0.7898
SPPL2A	0.0575	0.0985	0.0677	0.1272	0.1834	0.1559	0.0934	0.1369	0.2023	0.2116	0.0895	0.0547	0.0871	0.0555	0.0627	0.0762	0.082	0.0509	0.0556	0.0801	0.1116	0.0538	0.2895	0.0991	0.1949	0.1193
SPPL2B	0.1318	0.1937	0.0901	0.1165	0.1922	0.3542	0.2555	0.3424	0.202	0.2038	0.227	0.1182	0.1538	0.0952	0.1003	0.1329	0.099	0.0872	0.1292	0.0937	0.2054	0.1737	0.0868	0.0862	0.2036	0.1486
SPPL2C_loc1	0.7562	1.1868	1.4521	1.1571	2.2945	1.192	0.9897	0.982	1.2413	1.228	1.0386	0.8643	1.2461	0.9812	0.8216	0.9615	1.0287	0.9995	0.9328	2.155	1.1292	1.851	1.1126	0.9469	1.5067	1.9582
SPPL3	0.7944	0.5712	0.4578	0.5438	0.5768	0.5012	0.4376	0.7542	0.9631	0.704	0.4854	0.4027	0.6532	0.4748	0.391	0.5148	0.4942	0.4659	0.7474	0.4058	0.8264	0.4753	1.0899	0.7689	1.2479	0.5929
SPR	0.1473	0.2371	0.1563	0.6919	0.3045	0.3549	0.6866	0.7067	0.2761	1.6221	0.3439	0.7239	0.421	0.6535	0.1685	0.3085	0.4104	0.2611	0.2225	0.7135	0.4438	0.2729	0.3267	0.3782	0.4472	0.2748
SPRED1	0.3403	0.275	0.9694	0.2807	0.7988	1.0578	0.623	1.1408	0.4972	0.425	0.2879	0.2776	0.5056	0.1972	0.1656	0.1829	0.1965	0.1791	0.1742	0.1456	0.2952	0.1904	0.3893	0.2328	0.3275	0.2288
SPRED2	0.1656	0.2177	0.3542	0.1524	0.283	0.1741	0.165	0.527	0.4161	0.1744	0.2278	0.2633	0.2815	0.1294	0.1236	0.0904	0.1179	0.1076	0.1137	0.1273	0.2448	0.1151	0.1085	0.2504	0.2076	0.1425
SPRED3	0.0445	0.2756	0.2975	0.212	0.6499	0.6876	0.1082	0.1455	0.2768	0.1539	0.1121	0.0807	0.1438	0.102	0.2504	0.0933	0.1301	0.1448	0.4278	0.4429	0.2904	0.3046	0.822	0.3825	1.0818	0.5767
SPRN	0.0097	0.0289	0.0788	0.0748	0.1041	0.0527	0.0497	0.0625	0.0715	0.0427	0.0319	0.0192	0.0372	0.0478	0.0343	0.0911	0.1034	0.1338	0.0772	0.2103	0.3995	0.1417	0.2355	0.2817	0.5039	0.1622
SPRTN	0.1483	0.2678	0.1606	0.1608	0.1665	0.2772	0.1571	0.1425	0.2102	0.2238	0.123	0.1032	0.1681	0.1643	0.1729	0.1345	0.1089	0.0903	0.0939	0.1073	0.1331	0.182	0.1002	0.0732	0.1653	0.178
SPRY1	0.4868	0.5788	1.4852	0.3362	0.5992	1.1864	0.5939	0.8983	0.3699	0.3087	0.5986	0.6301	0.9071	0.5954	0.2539	0.2791	0.2835	0.2422	0.3535	0.2249	0.4332	0.3206	0.3682	0.2215	0.435	0.3432
SPRY2	0.2717	0.5952	0.425	0.3236	0.5737	1.1369	0.8131	1.2603	0.2981	0.223	0.185	0.3461	0.4054	0.1569	0.1693	0.2103	0.1827	0.1925	0.1789	0.1501	0.218	0.1721	0.1837	0.1869	0.2682	0.2494
SPRY3_loc2	0.1058	0.5407	0.1357	0.3185	0.2963	0.5773	0.3218	0.2979	0.2524	0.2694	0.2173	0.1598	0.6277	0.2877	0.2565	0.7855	0.9138	0.237	0.4392	0.4436	0.8327	0.4763	0.7108	0.5885	0.9381	0.5722
SPRY4	0.0074	1.5785	0.874	0.0576	0.6727	0.5111	0.1275	0.1267	0.0312	0.1178	0.023	0.0258	0.0284	0.0361	0.0458	0.0351	0.0511	0.0305	0.0581	0.1424	0.0322	0.0375	0.0522	0.081	0.0755	0.0773
SPRYD3	0.0623	0.1049	0.0647	0.076	0.1108	0.1348	0.1074	0.0587	0.1518	0.1788	0.0978	0.049	0.0689	0.051	0.042	0.128	0.0907	0.1606	0.0742	0.0784	0.0666	0.0781	0.2905	0.1561	0.4937	0.1366
SPRYD4	0.033	0.056	0.0395	0.105	0.0743	0.0774	0.1063	0.0454	0.1055	0.1218	0.0919	0.0328	0.0525	0.1228	0.0279	0.0436	0.0593	0.0511	0.1059	0.0306	0.1697	0.1178	0.1501	0.0568	0.3041	0.1255
SPRYD7	0.1313	0.1532	0.1639	0.1051	0.1634	0.1038	0.084	0.1353	0.1807	0.1683	0.1955	0.0835	0.1295	0.1266	0.1052	0.1022	0.1017	0.177	0.0729	0.1328	0.1648	0.1267	0.3635	0.1457	0.4459	0.2212
SPSB1	0.0791	6.1423	1.0315	0.3299	0.6965	0.3118	0.1881	0.2814	0.4674	0.5496	0.2126	0.2813	0.2415	0.1857	0.1611	0.3239	0.4851	0.2543	0.2283	0.2131	0.2747	0.2575	0.3178	0.2178	0.4223	0.2932
SPSB2	0.213	0.4971	0.6063	0.3763	0.6077	0.3881	0.6217	0.5937	1.0901	0.5005	0.9112	0.2626	0.3269	0.2174	0.5382	0.2696	0.2698	0.2835	0.2679	0.2418	0.3334	0.3154	0.618	0.2423	0.5038	0.4161
SPSB3	0.2148	0.2342	0.153	0.2232	0.1926	0.1807	0.1468	0.1516	0.3561	0.2755	0.1769	0.1755	0.2341	0.2745	0.1494	0.263	0.4397	0.1985	0.2367	0.0991	0.2371	0.1333	0.1785	0.1356	0.241	0.3232
SPSB4	0.0876	0.0788	0.0688	0.0832	0.1737	0.1677	0.0613	0.071	0.1666	0.1769	0.1343	0.0912	0.2694	0.1127	0.2158	0.1341	0.0993	0.0679	0.0544	0.0584	0.0796	0.1009	0.07	0.059	0.2239	0.0984
SPTA1	0.5892	1.3958	1.7933	0.9963	0.98	2.3691	1.3584	0.7877	1.0467	0.9847	0.8862	2.1574	0.9644	0.786	0.6774	0.7503	0.8967	0.8882	0.8117	0.7668	2.112	0.8732	0.9286	0.7705	1.2305	0.9468
SPTAN1	1.4066	1.829	0.8334	0.7562	1.1266	0.9448	0.9427	1.0765	1.3837	0.8829	0.7717	0.6557	0.9626	0.6916	0.5302	0.9441	0.9325	0.7396	0.6045	0.892	1.2449	1.2181	0.8699	0.7974	3.3319	1.5315
SPTB	0.1072	0.3563	0.3412	0.3322	0.2999	0.332	0.3025	0.6327	1.1996	0.2805	0.592	0.1509	0.2532	0.1808	0.1521	0.2871	0.3965	0.8217	0.4596	0.2091	0.7707	0.4874	0.6869	0.5749	0.4352	0.5102
SPTBN1	1.6625	4.7147	2.3692	0.8886	0.9681	1.0008	0.804	1.1073	1.2779	0.9997	0.8976	0.7963	1.196	0.816	0.6291	0.8164	0.8913	0.9249	1.2388	1.3045	1.6966	1.2642	1.4849	1.2709	2.5852	1.6817
SPTBN2	0.0826	0.0845	0.0584	0.0814	0.1409	0.0949	0.1188	0.067	0.0766	0.0913	0.087	0.127	0.1301	0.051	0.1727	0.2847	0.2031	0.207	0.2207	0.1372	0.122	0.1309	0.1702	0.1668	0.5852	0.3246
SPTBN4	0.2528	0.7804	0.3169	0.5631	0.5435	1.098	0.4119	1.4318	1.3832	0.5421	0.4261	0.3281	0.5204	0.3827	0.6032	0.3558	0.4526	1.0033	0.4612	0.8563	0.9958	0.9062	0.5497	1.3232	0.6987	1.2509
SPTBN5	0.6271	0.8834	0.709	2.2632	0.9376	2.1553	0.7526	1.2513	1.5693	0.9362	1.5006	0.7002	0.9677	0.7418	1.2364	1.2141	0.8188	0.8168	0.8187	1.3687	0.8855	0.8234	0.8994	0.7338	1.1966	0.8491
SPTLC1	0.5392	0.7179	0.3639	0.3548	0.3495	0.4666	0.4273	0.5641	0.4453	0.5511	0.3498	0.3349	0.4533	0.2942	0.2185	0.3365	0.4475	0.3365	0.3069	0.2758	0.4203	0.2735	0.3732	0.2492	0.4944	0.3906
SPTLC2	0.3071	0.5627	0.2453	0.2994	0.4124	0.2387	0.2183	0.2086	0.2751	0.211	0.442	0.1655	0.3202	0.3502	0.1764	0.2216	0.299	0.1956	0.1461	0.2165	0.4183	0.2583	0.2472	0.2069	0.6178	0.5755
SPTLC3	0.3622	0.791	0.6267	0.8694	0.8353	0.8866	3.9859	3.3974	0.9012	0.8751	0.7819	0.6729	0.8669	0.6923	0.6413	0.6716	0.7709	0.783	0.7434	0.7065	2.2457	0.7932	0.7895	0.7223	1.0119	0.7647
SPTSSA	0.269	0.7949	0.3288	0.2062	0.2862	0.2051	0.1585	0.2394	0.5011	0.2251	0.2359	0.2092	0.2682	0.1677	0.1192	0.214	0.1655	0.2495	0.2222	0.1999	0.2217	0.2492	0.2559	0.2703	0.349	0.2227
SPTSSB	0.4946	0.8373	0.597	0.8954	0.8338	0.9026	0.6824	0.6456	1.6309	1.4402	1.1869	0.9678	0.8771	1.9608	0.5852	0.6979	0.7495	0.7943	0.6971	1.3233	1.6157	0.817	1.8219	0.6711	1.0964	1.1025
SPTY2D1	0.2408	0.2922	0.3643	0.2667	0.1937	0.2783	0.1476	0.2609	0.3346	0.3194	0.2795	0.1827	0.3057	0.145	0.1392	0.161	0.1995	0.1316	0.1474	0.1432	0.1872	0.2295	0.1494	0.1641	0.2488	0.263
SPTY2D1-AS1	0.4394	0.9489	0.6141	0.7909	0.7121	0.7586	1.3742	0.6901	1.1596	0.6976	0.5942	0.7726	1.9931	0.564	0.8406	0.828	0.5889	0.6457	0.6095	1.0362	0.6866	1.3455	0.6996	1.7837	0.93	0.5875
SPX	0.313	24.2012	0.5833	0.783	0.8353	0.8223	0.6482	0.6329	0.8443	0.788	0.7378	0.5941	0.8429	1.4308	0.5647	0.6118	0.6768	0.7224	0.7175	0.6304	0.8037	0.7451	0.7692	0.6287	2.6377	0.7374
SQLE	1.5206	1.0389	0.851	0.7941	1.4508	0.8964	1.2631	1.67	1.7676	1.1111	1.2221	1.0029	1.5524	0.9167	0.5814	0.7028	1.2203	0.978	0.8179	0.6202	0.88	0.7826	0.7905	0.7018	1.2511	1.2971
SQRDL	0.247	13.0532	2.376	1.7455	0.6592	0.7165	0.5097	1.0083	0.6232	0.614	0.5539	0.4504	0.6524	0.5229	0.4446	0.4711	0.5867	0.5397	0.5169	0.5388	0.6321	0.5519	0.6104	0.4987	0.7755	0.5523
SQSTM1	0.2959	1.8427	0.5273	1.4556	0.3368	0.2416	0.2414	0.4025	0.5793	0.3413	0.1947	0.1618	0.3003	0.1545	0.1267	0.1725	0.2081	0.252	0.2033	0.1484	0.2628	0.2107	0.2244	0.3132	0.3058	0.2631
SRA1	0.3671	0.2797	0.2612	0.2399	0.2824	0.3898	0.2432	0.3365	0.358	0.3482	0.2668	0.3113	0.3149	0.3004	0.198	0.2032	0.2179	0.2418	0.1679	0.1574	0.36	0.2762	0.2355	0.2414	0.5442	0.3627
SRBD1	0.2214	0.19	0.1434	0.1869	0.2638	0.2024	0.1925	0.2069	0.2397	0.1854	0.3121	0.202	0.3178	0.309	0.2112	0.1496	0.4031	0.1232	0.1421	0.1102	0.179	0.1683	0.209	0.1624	0.2667	0.2534
SRC	0.4749	0.6569	0.7205	0.3076	0.3	0.3061	0.2892	0.3526	0.3851	0.2929	0.3033	0.2767	0.365	0.2485	0.2272	0.276	0.2735	0.2885	0.2702	0.3398	0.4771	0.3613	0.418	0.3594	0.4832	0.4063
SRCAP	0.2518	0.2254	0.1974	0.199	0.2613	0.2664	0.2604	0.2503	0.1994	0.3533	0.3267	0.2736	0.2144	0.2101	0.1106	0.1509	0.188	0.1546	0.1174	0.1325	0.3289	0.1643	0.1407	0.1931	0.2385	0.2083
SRCIN1	0.0904	0.0926	0.0968	0.1039	0.09	0.2044	0.1025	0.1286	0.1038	0.1533	0.0808	0.0722	0.0976	0.0599	0.1357	0.2047	0.3692	0.4257	0.4992	0.4171	0.701	0.5586	0.9156	0.6638	0.6122	0.4733
SRD5A1	0.0731	0.0631	0.0627	0.0975	0.1274	0.0876	0.0866	0.0695	0.104	0.0723	0.0573	0.0632	0.084	0.0494	0.0479	0.149	0.0977	0.1232	0.0824	0.0898	0.1596	0.2309	0.3218	0.1896	0.5564	0.1507
SRD5A1P1_p1	0.5753	0.9151	1.8592	0.9445	0.9839	0.9908	0.772	1.1573	1.7568	1.0217	1.6353	0.7463	0.9684	0.774	0.6733	0.7382	0.8374	4.6773	0.8188	0.7625	1.0183	0.9289	0.941	0.7912	1.1823	1.3258
SRD5A3	0.009	0.1054	0.2427	0.0928	0.068	0.0776	0.0274	0.045	0.1426	0.0269	0.0669	0.0196	0.0397	0.04	0.0216	0.0142	0.0384	0.0256	0.045	0.043	0.086	0.0549	0.0388	0.0928	0.1376	0.079
SRD5A3-AS1	0.4591	1.4167	0.962	2.3857	0.8748	0.8803	1.2446	1.0662	0.9331	0.8331	0.7669	0.6676	1.6293	0.6712	0.6043	2.1367	0.7668	0.7587	0.6995	1.7576	0.8768	0.7899	0.8286	0.6731	1.0238	0.7892
SREBF1	0.1369	0.208	0.1144	0.2574	0.2473	0.2097	0.2087	0.2348	0.3258	0.1844	0.1493	0.1118	0.2157	0.1436	0.1443	0.1722	0.1257	0.0997	0.1111	0.0705	0.1197	0.1312	0.1742	0.093	0.1457	0.1773
SREBF2	1.4591	0.971	0.8328	0.7942	1.0289	0.8845	0.7046	1.2819	1.0426	1.0283	1.0132	0.786	1.0559	0.7374	0.6138	0.9978	1.1183	0.7531	0.7172	0.5562	0.9282	0.7974	0.7173	0.6297	1.8635	1.3692
SREK1	1.9177	1.3439	1.1305	1.0498	1.3549	1.213	1.5005	1.9024	1.8229	1.4697	1.4567	1.2065	1.7337	1.0289	0.8434	0.889	1.0073	0.9373	0.8697	0.6817	1.2586	0.8743	1.1178	0.756	1.5511	1.2419
SREK1IP1	1.1809	0.8312	0.7186	0.6963	0.821	1.1103	0.609	0.9752	1.4132	0.7371	0.6999	0.6867	0.8518	0.6471	0.6965	0.6822	0.6849	0.69	0.556	0.4728	0.7527	0.8375	0.7879	0.4548	0.9203	0.894
SRF	0.3867	0.4888	0.3278	0.2645	0.2594	0.3771	0.4353	0.5568	0.4128	0.2992	0.3804	0.3655	0.3385	0.2078	0.1925	0.211	0.2833	0.2105	0.2308	0.1625	0.3436	0.2591	0.4703	0.2522	0.4714	0.288
SRFBP1	0.2836	0.3375	0.2462	0.193	0.2379	0.2197	0.1845	0.2669	0.257	0.2425	0.1882	0.3858	0.4202	0.2948	0.2417	0.1604	0.1582	0.1654	0.182	0.1854	0.1962	0.2686	0.2171	0.3	0.3105	0.2134
SRGAP1	0.6497	0.4349	0.3688	0.4213	0.5223	0.4581	0.4142	0.4842	0.5762	0.4584	0.4461	0.4208	0.5197	0.3604	0.3621	0.8008	1.0595	0.8668	0.7373	0.8341	1.4488	0.7199	1.1114	0.8033	0.7929	0.5987
SRGAP2	0.2822	0.5778	0.1732	0.2394	0.2025	0.2288	0.1746	0.212	0.3316	0.2717	0.2239	0.2349	0.3222	0.2693	0.1487	0.1645	0.2759	0.1918	0.1743	0.1331	0.4191	0.2568	0.2588	0.175	0.4043	0.2949
SRGAP2-AS1	0.2037	0.8412	0.5472	0.4583	0.4033	0.694	0.2603	0.5403	0.5841	0.3507	0.2931	0.4917	0.4836	0.3873	0.3186	0.4521	0.3043	0.5926	0.8867	0.2815	0.3783	0.5686	0.8398	0.2614	1.0372	0.7159
SRGAP2C	0.413	0.9617	0.397	0.6882	0.5951	0.6578	0.9238	0.7105	0.6001	0.5849	1.0369	0.3994	0.7884	0.8599	1.0546	1.2215	0.5123	0.7986	0.4546	0.4504	1.3793	0.5283	0.59	0.6597	1.3261	0.6631
SRGAP2D_loc1	0.239	0.9386	0.2353	0.2212	0.1781	0.1765	0.1818	0.2598	0.3058	0.1888	0.3029	0.2059	0.3289	0.1674	0.1626	0.1503	0.1357	0.1431	0.1683	0.1254	0.2141	0.1717	0.1652	0.1454	0.2671	0.1972
SRGAP2D_loc2	0.0737	0.3352	0.0966	0.1457	0.0899	0.0918	0.0866	0.0762	0.0863	0.0682	0.0964	0.1108	0.2162	0.0619	0.0613	0.0711	0.0559	0.0649	0.0753	0.0656	0.129	0.0941	0.0986	0.1464	0.1339	0.0796
SRGAP3	0.9665	0.653	0.5411	0.6087	0.6974	1.1487	1.396	2.0214	2.0362	1.7802	1.0193	0.9268	1.184	0.4937	0.6328	0.9415	0.8558	0.6681	0.8538	0.6921	0.8746	0.7452	0.9579	1.1661	1.3141	0.9307
SRGAP3-AS3	0.4805	0.9707	0.7281	0.9725	0.8898	0.9707	1.57	2.0877	5.0479	0.9528	0.8498	0.7471	1.8256	0.765	0.7274	0.728	0.7395	0.807	0.7617	0.751	0.9499	0.873	0.897	0.7965	1.1814	0.8839
SRGN	0.0139	4.0122	0.1777	5.6525	0.3602	0.1011	0.1529	0.1009	0.0687	0.0808	0.0529	0.0601	0.0669	0.0872	0.0708	0.0423	0.0602	0.0779	0.139	0.1432	0.0755	0.0791	0.1116	0.1214	0.1528	0.0423
SRI	1.0545	0.859	0.6075	0.6783	2.2272	1.4808	1.5318	1.5773	1.5679	1.3769	0.6629	0.654	0.9195	0.5911	0.5597	0.4865	0.5186	0.4606	0.4785	0.4427	0.749	0.603	0.5168	0.4068	0.8748	0.8022
SRL	0.0278	0.0778	0.0671	0.1679	0.1293	0.148	0.0671	0.0882	0.1048	0.2114	0.0732	0.1418	0.2533	0.1846	0.5433	0.4557	0.1637	0.2021	0.1817	0.0794	0.1118	0.1091	0.1538	0.1598	0.2284	0.8374
SRM	0.1896	0.2872	0.1696	0.1508	0.268	0.1587	0.1369	0.1706	0.2071	0.1499	0.2062	0.1789	0.3467	0.1232	0.1408	0.1221	0.1143	0.2622	0.1104	0.0876	0.2639	0.1132	0.1376	0.126	0.308	0.158
SRP14	11.0124	7.1603	6.0666	5.5503	5.7163	6.3628	4.8707	6.9502	7.8689	5.9881	8.6778	6.5336	9.9018	8.0151	6.0961	6.8248	7.4461	5.266	4.4157	4.8052	6.1906	5.8707	4.7906	3.9462	10.2604	9.4266
SRP14-AS1	0.0284	0.075	0.0424	0.0503	0.0716	0.074	0.0404	0.0703	0.1858	0.0591	0.0838	0.091	0.2984	0.0553	0.0335	0.0609	0.0413	0.0562	0.0444	0.0909	0.0492	0.088	0.1434	0.0711	0.0761	0.078
SRP19	1.2503	0.8506	0.7483	0.8556	0.7591	0.7711	0.6241	0.8321	0.9552	0.7698	0.7545	0.7686	1.4062	0.7966	0.6894	0.8301	0.8914	0.7562	0.5772	0.5303	0.7842	0.9634	0.5808	0.4844	1.1407	0.9946
SRP54	0.7803	0.6387	0.5312	0.4374	0.5536	0.511	0.3783	0.6016	0.8142	0.5249	0.5558	0.417	0.6386	0.4685	0.3798	0.3999	0.4833	0.3512	0.3351	0.2963	0.5048	0.3859	0.4345	0.362	0.678	0.5799
SRP68	0.3128	0.3472	0.2279	0.3575	0.3226	0.3071	0.2162	0.2836	0.2538	0.2544	0.1971	0.3886	0.3328	0.2332	0.1532	0.1916	0.2334	0.2319	0.149	0.1634	0.251	0.1906	0.1771	0.1574	0.3204	0.2534
SRP72	1.4818	0.994	0.8937	0.7921	0.8669	0.9673	0.6837	1.0576	0.9882	0.8588	0.8981	0.9346	1.1535	0.7284	0.5762	0.7753	0.8607	0.7363	0.6268	0.6297	1.0632	0.9321	0.6754	0.6425	1.2162	1.0211
SRP9	6.977	4.451	3.8059	3.5353	3.666	4.1973	3.1152	4.4636	5.876	5.9276	7.0603	5.2453	7.0434	6.2259	4.1788	4.0384	5.0056	3.1601	3.134	2.5798	3.9829	2.9971	3.0541	2.5384	6.2428	6.1016
SRPK1	0.5592	0.3971	0.3292	0.4114	0.4725	0.5057	0.2812	0.4077	0.3807	0.3575	0.3976	0.4528	0.6682	0.5305	0.3424	0.4714	0.5016	0.4731	0.4593	0.2996	0.5766	0.5388	0.7141	0.4113	0.8072	0.829
SRPK2	1.0225	0.7135	0.5773	0.7279	0.7453	0.7461	0.8196	0.8071	0.9321	0.6932	0.6613	0.5941	0.7186	0.5261	0.4116	0.5276	0.8161	0.5922	0.507	0.5308	1.0923	1.2418	0.7098	0.8546	1.3528	0.9129
SRPK3	0.5557	1.1621	0.6034	0.8636	1.7023	0.9674	1.2625	1.4789	2.3366	0.8652	0.7544	0.649	1.4264	1.1052	0.6065	0.6863	0.7392	0.7899	0.6871	0.6555	0.8483	0.7326	0.825	0.6631	2.5456	1.0498
SRPR	0.1755	0.336	0.275	0.3729	0.1417	0.1848	0.1076	0.1523	0.1465	0.1966	0.2612	0.1462	0.268	0.186	0.1718	0.1304	0.163	0.1247	0.1119	0.0844	0.1992	0.1202	0.1109	0.1539	0.4218	0.2928
SRPRB	0.2222	0.3027	0.204	0.3309	0.2203	0.4263	0.1916	0.2687	0.1849	0.1811	0.1627	0.1439	0.2744	0.1421	0.1422	0.1325	0.1271	0.1237	0.1304	0.1094	0.1758	0.1599	0.2431	0.1581	0.2491	0.2438
