	Sz	mEndo	mPeric	mMgl	mEpend	mRgl3	mRgl2	mRgl1	mNProg	mNbM	mNbML2	mNbL2	mNbDA	mDA0	mDA1	mDA2	mNbML1	mNbML3	mNbL1	mNbML4	mRN	mGaba1b	mGaba1a	mGaba2	mSert	mOMTN	mNbML5
Rnf8	0.2748	0.2193	0.1636	0.2223	0.2533	0.2293	0.2118	0.1961	0.1912	0.1415	0.1531	0.3345	0.138	0.171	0.1794	0.1752	0.2435	0.2291	0.2068	0.3927	0.3031	0.2055	0.2056	0.4014	0.3514	0.282	0.1088
Rnft1	0.0332	0.1327	0.2269	0.3738	0.6325	0.4133	0.1578	0.1169	0.1653	0.0333	0.0386	0.0582	0.0426	0.0304	0.0448	0.0701	0.0586	0.1225	0.1775	0.0776	0.0574	0.0625	0.0655	0.0913	0.1216	0.0516	0.026
Rnft2	0.2753	0.181	0.1524	0.2256	0.4501	0.2516	0.3117	0.1925	0.184	0.1449	0.1758	0.5096	0.2846	0.2884	0.2546	0.2642	0.2491	0.4013	0.3678	0.2865	0.3564	0.3941	0.3375	0.7588	0.5257	0.4732	0.4424
Rngtt	0.3879	0.2677	0.3086	0.3085	0.3728	0.3729	0.3797	0.2608	0.386	0.1691	0.2099	0.2339	0.3067	0.2089	0.2369	0.2994	0.2692	0.323	0.5474	0.6665	0.3407	0.2523	0.2886	0.5355	0.4526	0.4097	0.2636
Rnh1	0.4589	0.5198	0.7248	1.5112	0.8195	0.729	0.6075	0.3748	0.4638	0.2347	0.2146	0.2744	0.2694	0.2778	0.4192	0.2621	0.3798	0.3704	0.5887	0.4767	0.4146	0.2946	0.6244	0.5508	0.7012	0.8702	0.1914
Rnls	0.3082	0.4663	0.3728	0.6021	0.5102	1.1832	1.2136	0.4598	0.3437	0.2646	0.664	0.3744	0.2538	0.3018	0.4107	0.4023	0.4254	0.4562	0.4571	0.4846	0.4138	0.5449	0.5008	0.5673	0.4776	1.173	0.3976
Rnmt	0.8367	0.5747	0.4566	0.644	0.8175	0.7201	0.4681	0.5071	0.6527	0.4727	0.3427	0.5827	0.3933	0.3628	0.5229	0.5206	0.7168	0.7338	0.9943	0.7711	1.1597	0.6305	0.4912	1.1043	0.9406	1.1798	0.4724
Rnmtl1	0.0851	0.0825	0.0682	0.1032	0.0872	0.0929	0.1436	0.083	0.1282	0.0699	0.0514	0.0622	0.0634	0.0484	0.1501	0.1152	0.1456	0.1046	0.3026	0.3871	0.1841	0.1885	0.2025	0.2825	0.3013	0.3006	0.1001
Rnpc3	0.4302	0.2727	0.2524	0.4937	0.2722	0.5492	0.4143	0.3548	0.306	0.1945	0.1819	0.9256	0.1902	0.2032	0.5322	0.4099	0.3369	0.5779	0.6319	0.6061	0.6361	0.7241	0.6966	1.1584	0.4999	0.6751	0.4311
Rnpep	0.1888	0.613	0.1372	0.5514	0.3745	0.1281	0.2173	0.1273	0.1163	0.1196	0.0906	0.3412	0.1237	0.3299	0.2288	0.1613	0.1899	0.4542	0.3242	0.2771	0.2148	0.2404	0.3474	0.6867	0.2502	0.4707	0.1181
Rnpepl1	0.1546	0.3164	0.2266	0.3514	0.1748	0.1476	0.1927	0.1227	0.1164	0.0995	0.0961	0.2768	0.0684	0.1556	0.1023	0.2127	0.0992	0.1975	0.2333	0.152	0.1435	0.1343	0.1773	0.2472	0.1426	0.2304	0.1558
Rnps1	2.3122	1.5494	1.2653	1.4867	1.3435	1.2611	1.281	1.7576	1.846	1.159	1.1595	2.9494	0.8432	1.4668	1.2341	1.2895	1.3619	1.6391	1.3859	1.7143	1.851	1.1261	1.1525	2.7171	1.8539	1.9558	1.2935
Rnu11	1.2961	2.4556	1.8049	1.6928	1.4756	1.3977	1.3509	1.8718	2.8485	1.0903	0.994	1.2826	1.044	1.1661	1.3937	1.3292	1.1737	1.5934	1.4239	1.7778	1.6492	1.2621	1.2878	1.7416	1.6687	2.3224	1.0981
Rnu12	0.0127	0.0668	0.0362	0.1914	0.082	0.0916	0.0441	0.0434	0.0668	0.0203	0.0233	0.0753	0.0528	0.0279	0.0827	0.0834	0.0681	0.0711	0.0465	0.0481	0.1288	0.0388	0.0885	0.069	0.1114	0.0968	0.0421
Rnu73b	0.9072	1.9714	1.0838	1.3837	1.2355	1.2443	1.1745	1.1792	1.0205	1.0271	1.6432	1.1354	0.9797	1.1027	1.2609	1.1978	1.0394	1.4486	1.3592	1.4949	1.4559	1.1485	1.1819	2.1039	1.3555	2.1589	2.1453
Robo1	0.6701	0.4259	0.3505	0.4752	0.4829	0.3904	0.9177	0.5721	0.3832	0.6291	0.4172	1.491	0.5743	0.5528	0.8921	0.6282	0.5811	1.9203	0.6769	1.4044	0.5956	0.5709	0.465	1.3753	0.6551	0.8523	0.6111
Robo2	0.5012	0.3398	0.2648	0.4051	0.4096	0.429	0.345	0.3244	0.2713	0.2382	0.3254	1.1609	0.3233	0.4178	0.9967	0.7906	0.4817	0.6773	1.4347	0.5434	3.1771	0.6237	0.4874	1.5812	0.8371	1.5667	0.4586
Robo3	0.04	0.2445	0.3482	0.3432	0.1705	0.1223	0.0628	0.2332	0.6642	0.2434	0.8533	0.9005	0.1533	0.3353	0.2262	0.2227	0.4137	0.1105	0.4009	0.1384	0.3487	0.1258	0.1543	0.1076	0.0853	0.2854	0.2548
Robo4	0.0022	1.6948	0.0426	0.0385	0.0754	0.1112	0.0359	0.0452	0.0205	0.0195	0.0126	0.0418	0.0187	0.0275	0.046	0.0407	0.0227	0.0388	0.0454	0.0447	0.0324	0.0198	0.0279	0.013	0.0211	0.0192	0.0226
Rock1	1.4033	1.8039	1.4223	1.1153	1.0509	1.0529	1.2781	1.2902	1.0943	0.731	0.6974	1.6655	0.6273	1.2003	0.9203	0.8705	0.6416	0.9034	0.8562	1.0287	1.0548	0.8422	0.7068	1.3338	1.3199	1.3454	0.7576
Rock2	0.8923	1.2892	0.7269	0.8857	0.6927	0.5216	0.6096	0.5327	0.5512	0.3652	0.4009	1.1847	0.4596	0.395	0.6063	0.5245	0.5005	0.6829	0.6406	1.231	0.7064	0.4851	0.517	1.1736	0.9684	0.8147	0.6648
Rogdi	0.68	0.4318	0.3241	1.2923	0.8224	0.8593	0.4035	0.4338	0.4074	0.3428	0.5431	0.5752	0.4954	0.531	0.7898	0.5843	0.6077	0.9284	0.9116	1.3372	1.0535	0.6885	0.7527	1.1661	0.803	1.2075	0.7944
Rom1	0.3796	0.8144	1.2926	0.7829	0.6172	0.5289	0.3843	0.3981	0.4413	0.497	0.3624	0.7936	0.4746	0.3817	0.8889	0.4779	1.2135	0.8382	1.5473	0.6324	0.5683	0.761	0.4325	0.755	0.5019	0.5557	0.3478
Romo1	2.7719	1.6359	1.395	1.7414	1.4192	1.4619	1.9223	1.7522	1.4758	1.1101	0.9548	1.3208	1.0002	1.1348	1.4894	1.3917	1.1884	2.1059	1.8441	2.4917	2.3714	1.479	1.3329	2.722	2.0265	2.7052	0.9902
Ropn1l	0.0546	0.5153	0.3996	0.3904	4.0431	0.1737	0.248	0.1071	0.1059	0.1091	0.2843	0.1915	0.4027	0.2637	0.1903	0.3841	0.216	0.33	0.2023	0.4369	0.4762	0.1232	0.138	0.1926	0.2195	0.1294	0.2102
Ror2	0.3773	0.8237	3.6088	0.6583	0.6911	1.1213	1.0428	0.7856	0.4595	0.4192	0.3453	1.129	0.3938	0.465	0.6058	0.5656	0.4685	0.656	1.1102	0.7041	0.6511	0.4551	0.8195	0.8789	0.8151	1.125	0.438
Rora	0.0089	0.0711	0.0176	0.0723	0.1555	0.0435	0.0518	0.0367	0.0232	0.0561	0.0429	0.0854	0.0666	0.084	0.0369	0.1212	0.036	0.0338	0.086	0.0404	0.1156	0.0378	0.0261	0.1257	0.0373	0.0877	0.0198
Rorb	0.1039	0.1274	0.2174	0.3442	0.4865	0.402	0.719	0.186	0.1635	0.196	0.1222	0.3527	0.1409	0.1175	0.254	0.1113	0.0989	0.1975	0.1084	0.2009	0.1232	0.2216	0.1963	0.2422	0.3133	0.1125	0.1869
Rorc	0.5646	0.7827	0.7552	1.0651	0.9659	1.7963	1.3921	0.7941	4.6801	0.6785	0.5996	1.3153	0.6326	0.741	0.8945	0.844	0.7834	1.0129	0.9584	1.0488	1.0235	0.8044	1.5211	1.3527	0.9076	0.9864	0.7472
Ros1	0.4366	1.4462	0.7555	0.9819	0.88	0.9446	1.6637	0.8406	0.6906	0.73	0.6065	7.5886	0.7051	0.7364	0.8674	0.8219	0.7673	0.9263	0.8834	1.0217	1.0222	0.7328	0.8301	0.8867	0.9863	1.9647	0.7265
Rp1	0.2273	0.4464	0.9314	0.619	5.6019	3.5562	0.897	0.4765	0.6735	0.9438	0.7805	0.9675	0.4143	0.47	0.589	0.5644	0.4962	0.6534	0.6579	0.6754	0.6419	0.4987	1.1859	0.5374	0.6041	1.0461	0.4787
Rp2h	0.0802	0.1268	0.2271	1.0519	0.7096	0.3739	0.3084	0.3914	0.2327	0.0826	0.066	0.1018	0.0559	0.0822	0.0945	0.3275	0.0813	0.1407	0.1402	0.1923	0.1446	0.0878	0.0684	0.138	0.1799	0.1819	0.1156
Rp9	0.6904	0.5257	0.4176	0.6107	0.4859	0.4788	0.4528	0.5328	0.442	0.2739	0.4409	0.9212	0.2592	0.5507	0.3996	0.562	0.6173	0.7766	0.5223	0.6942	0.5832	0.5906	0.4822	0.9585	0.7493	0.6356	0.6003
Rpa1	0.1915	0.398	0.5691	0.7956	1.3254	0.8489	0.5941	0.6146	0.3822	0.1055	0.1196	0.1388	0.2124	0.1059	0.1349	0.2207	0.0962	0.2111	0.169	0.2811	0.398	0.1293	0.3424	0.3319	0.216	0.2626	0.1531
Rpa2	0.1606	0.2419	0.2799	0.2646	0.2449	0.2098	0.5269	0.603	0.5504	0.0785	0.0745	0.1584	0.0747	0.093	0.1773	0.1492	0.1018	0.1516	0.2321	0.1504	0.2141	0.1501	0.2579	0.2922	0.2912	0.164	0.135
Rpa3	2.0313	1.5908	1.1359	1.3995	1.0637	1.2275	1.8212	2.1115	1.7135	0.7463	0.8778	0.9906	0.887	0.7877	1.088	1.0783	1.0655	1.4995	1.1555	1.454	1.7885	1.0646	0.9926	1.8935	1.9449	2.2645	0.7362
Rpain	0.3461	0.3955	0.2427	0.4884	0.2542	0.3832	0.4203	0.4111	0.3768	0.1615	0.1658	0.2185	0.2567	0.2729	0.28	0.2199	0.1753	0.2644	0.2926	0.371	0.5612	0.3564	0.2382	0.5681	0.3311	0.399	0.1481
Rpap1	0.3004	0.2387	0.2841	0.263	0.218	0.3258	0.272	0.354	0.311	0.162	0.2549	0.4259	0.2015	0.1787	0.272	0.2204	0.1649	0.2519	0.25	0.3109	0.4321	0.3076	0.2305	0.3115	0.255	0.3373	0.2349
Rpap2	0.1119	0.1404	0.1118	0.1797	0.1418	0.1022	0.1741	0.0983	0.0945	0.0812	0.0974	0.1055	0.056	0.0849	0.1046	0.1463	0.0967	0.1228	0.1174	0.3057	0.1495	0.1097	0.0835	0.1967	0.2446	0.2655	0.0789
Rpap3	0.7959	1.0991	0.4102	0.6181	1.0724	0.5266	0.5678	0.5339	0.5399	0.3903	0.2878	0.4748	0.3625	0.3276	0.6703	0.4601	0.6554	0.6351	0.5946	1.1083	0.7221	0.6004	0.7065	1.2274	0.72	0.6754	0.3666
Rpe	0.2201	0.3788	0.2104	0.4387	0.2093	0.1842	0.4577	0.4383	0.3604	0.1232	0.1435	0.1629	0.1323	0.125	0.1747	0.1289	0.1369	0.1936	0.1864	0.3088	0.1825	0.1353	0.2104	0.3068	0.2733	0.2147	0.129
Rpf1	0.3023	0.2814	0.2762	0.5428	0.3282	0.2958	0.1989	0.2662	0.4707	0.2032	0.1957	0.1751	0.2818	0.1528	0.2889	0.2364	0.187	0.2978	0.6251	0.3759	0.2808	0.227	0.1958	0.3322	0.2654	0.2868	0.1917
Rpf2	1.443	0.8807	0.7294	0.9364	0.8674	1.0456	0.9059	1.2272	0.9962	0.6415	0.5703	0.7168	0.5239	0.5894	0.8318	1.1651	0.8163	1.4072	0.8909	1.2616	1.8221	0.9057	1.1592	1.6574	1.5118	1.5583	0.6593
Rpgr	0.5825	0.365	0.2908	0.4303	2.0451	1.6136	0.6975	0.4975	0.597	0.4935	0.3428	0.766	0.4436	0.5078	0.4398	0.6909	0.4317	0.7264	0.5285	0.7186	0.6435	0.3951	0.4371	0.6926	0.5428	0.6242	0.3445
Rpgrip1	0.0838	0.08	0.0621	0.0908	0.0969	0.1579	0.1601	0.1181	0.1265	0.1144	0.0968	0.151	0.1012	0.1408	0.1186	0.0816	0.1153	0.1482	0.1461	0.1026	0.1393	0.1052	0.152	0.1994	0.1102	0.1061	0.0617
Rpgrip1l	0.1148	0.1636	0.2248	0.2225	0.5314	0.2846	0.1131	0.1497	0.185	0.0811	0.0521	0.3601	0.168	0.0694	0.1337	0.1038	0.274	0.1467	0.1087	0.2274	0.2434	0.1381	0.2211	0.4988	0.1776	0.2529	0.1012
Rph3a	0.1706	0.1578	0.1293	0.2466	0.2273	0.1505	0.1827	0.1381	0.1073	0.1717	0.1004	0.5357	0.1357	0.5678	0.5381	0.4612	0.1196	0.3065	0.1912	0.2836	0.2148	0.4882	0.4018	0.9788	0.4649	0.4203	0.2398
Rpia	0.0687	0.1335	0.2308	0.1209	0.2204	0.0804	0.1593	0.1144	0.1638	0.1092	0.1234	0.4564	0.2065	0.3983	0.1199	0.1067	0.0645	0.0833	0.1315	0.0947	0.1284	0.1437	0.1551	0.2485	0.1111	0.1694	0.1804
Rpl10	3.2374	3.1152	2.1953	4.0563	1.7452	1.6916	1.7248	1.9385	1.8006	1.5694	1.0895	1.5396	1.098	1.3401	1.78	1.5341	1.4025	2.1237	1.8066	2.6622	2.6659	1.4905	1.5161	3.7942	2.5422	2.5456	1.1349
Rpl10a	6.0217	4.5441	4.0399	7.6464	2.9472	2.954	3.3174	4.8566	4.9106	2.8757	2.3766	2.7917	2.0571	2.3322	2.9808	2.7032	2.531	5.4278	3.3342	4.6886	4.6251	2.9186	2.7588	4.9895	4.1578	5.4101	2.1356
Rpl11	6.4083	4.5332	3.6443	4.3363	3.2288	3.3228	3.4045	3.8935	3.5488	2.7098	2.6298	2.9884	2.157	2.5334	3.4982	2.9343	2.6539	4.1194	3.4788	4.5159	5.0361	3.1558	2.9178	5.4151	4.5357	4.7839	2.5795
Rpl12	7.649	6.683	4.3668	11.6122	3.7354	3.7399	4.3485	5.0023	6.8744	2.9709	2.5554	3.5237	2.5747	2.7889	3.7621	3.6393	3.1537	5.7735	4.1144	5.3997	5.7599	3.7612	4.0855	6.3729	5.2724	5.8901	2.6187
Rpl13	9.1363	7.2474	7.9453	7.3512	4.5153	4.6202	5.8295	7.9481	8.5487	5.0624	4.0212	4.5105	3.5633	4.241	4.684	4.088	4.3517	7.3009	6.388	7.2505	6.5917	4.1289	4.1218	7.4687	6.2259	7.3539	3.2659
Rpl13a	24.0162	22.7547	15.9505	26.0622	11.4439	11.6918	15.9016	18.0397	21.4073	11.2267	10.8211	10.9874	9.4162	8.9919	12.2399	10.5701	10.726	15.9923	14.6026	17.3081	17.2269	11.0153	11.0436	19.4826	16.1915	20.581	8.4525
Rpl14	5.6848	3.659	2.627	4.3828	2.889	2.7869	2.9761	3.4948	3.8832	2.1978	1.9803	2.6251	2.1007	2.1207	3.0154	2.5592	2.4844	4.1209	3.2513	4.0906	5.3495	2.7767	2.6946	4.7189	3.9255	4.7833	1.9798
Rpl15	9.2851	5.6653	4.8239	6.0969	4.5185	4.5961	4.9001	5.833	5.7848	4.7468	4.0325	4.2801	3.3664	3.5801	4.7513	4.0859	4.4188	6.6043	5.0644	6.4693	7.3458	4.2186	4.2928	7.7146	6.3461	7.0856	3.5617
Rpl17	3.5828	3.3291	2.2691	2.4915	1.7977	1.8156	1.9182	2.4133	1.886	1.6841	1.2181	1.724	1.2654	1.3679	1.996	1.7083	1.5073	2.6333	1.9436	2.5291	2.8907	1.6696	1.7776	3.223	2.4767	2.7123	1.3144
Rpl18	6.9162	5.0052	4.3528	6.0608	3.3873	3.3923	4.2077	5.3827	6.1377	3.5409	2.9541	3.1946	2.9976	2.6877	3.4527	3.018	3.0851	5.9457	4.177	6.1364	5.6945	3.3064	3.3564	5.6474	4.8462	5.5608	2.5793
Rpl18a	27.7321	30.8676	22.1594	35.5889	13.4081	13.5129	17.001	22.5991	27.6667	19.1742	15.0784	12.7008	13.2742	12.5347	14.8415	12.3445	14.331	22.6859	14.8318	19.4425	20.2072	12.6666	12.7922	22.5104	18.8187	24.8689	9.9413
Rpl19	8.8688	5.4822	5.1175	7.9146	4.2617	4.3288	4.6436	5.1819	6.3654	3.7142	3.4012	4.0811	3.0558	3.3369	4.4775	3.8267	3.6931	8.1416	4.8232	6.3424	7.114	4.0437	4.1998	7.4365	6.1715	7.336	3.102
Rpl21	1.538	1.1136	1.1999	1.2068	0.8479	0.8114	0.9675	1.0487	1.2572	1.068	0.9545	0.7359	0.7161	0.6421	0.9657	0.7598	1.0919	1.4993	0.9881	1.5353	2.0367	0.8351	0.7813	1.2832	1.1532	1.3876	0.8617
Rpl22	2.7399	2.9944	2.3693	3.2043	1.4746	1.4399	1.6304	2.4119	2.5055	1.6	1.4515	1.3037	1.0607	1.0917	1.3912	1.2476	1.6745	2.0518	1.5707	2.2763	2.2807	1.3287	1.3151	2.2688	1.8983	2.5559	1.0865
Rpl22l1	4.2462	3.1756	2.4192	3.8357	2.248	2.2845	2.8568	3.6355	3.4251	1.5041	1.395	1.9669	1.4693	1.5343	2.2695	2.2114	1.7444	3.0617	2.3289	3.3713	3.9227	2.7018	2.2562	5.1404	3.4909	3.2037	1.7055
Rpl23	18.115	19.2673	14.7595	20.7324	8.7462	9.3009	12.4607	12.449	14.4716	9.088	7.0854	8.3298	6.207	6.529	8.7502	8.1771	7.3529	12.4655	10.9671	13.4048	13.4789	8.1276	8.1945	14.7547	12.3102	14.6146	6.2135
Rpl23a	6.5787	4.3049	3.9837	4.736	3.2135	3.2871	3.4685	4.3239	3.9542	3.0547	2.4911	3.05	2.5965	2.7843	3.2778	3.0645	2.8209	4.8632	3.7074	4.5571	6.1111	3.0959	3.1336	5.4596	4.4997	5.1133	2.2829
Rpl24	15.2541	13.1793	9.7254	12.9128	7.353	7.668	9.3326	10.7349	11.3197	6.1485	6.0797	7.0049	5.4682	5.8484	7.6223	6.7183	6.7952	12.9851	8.8709	10.9937	10.9659	7.3838	7.4182	12.4116	10.4094	12.2259	5.1969
Rpl27	7.629	5.413	4.5324	5.1825	3.7117	3.7574	4.2335	5.1922	5.6177	4.1643	3.7511	3.523	2.8545	2.8879	4.0196	3.3958	3.6233	6.5786	4.1292	5.548	5.8156	3.4924	3.4986	6.2471	5.3327	5.6786	2.9309
Rpl27a	3.5143	3.1662	2.1209	3.3236	1.776	1.9015	2.2083	2.3631	2.2801	1.8223	1.2139	1.6674	1.1984	1.3856	1.9713	1.6322	1.4568	2.3909	1.9248	2.817	2.6004	1.6786	1.6813	3.2088	2.4157	2.7906	1.2252
Rpl28	4.4505	4.8977	4.4266	5.4971	2.1917	2.273	2.5675	2.9725	4.1815	3.1036	2.1817	2.0991	1.6533	2.1996	2.2113	2.0294	2.1938	3.6017	2.5999	3.4848	3.3492	2.0447	2.0499	3.655	3.0702	3.4381	1.7095
Rpl29	1.6444	1.3903	1.3641	1.1074	0.8497	0.8806	0.9415	1.4035	1.3853	1.0714	0.8181	0.7955	0.615	0.6335	0.8774	0.7533	1.0656	1.2713	1.0014	1.1982	1.4795	0.8854	0.7947	1.4725	1.3358	1.2591	0.6291
Rpl3	3.962	3.5637	3.0277	3.6695	2.2378	2.0398	2.1281	2.9475	2.9414	1.5605	1.3562	1.8821	1.3543	1.5266	1.966	1.894	1.795	2.7748	2.2275	2.9927	3.013	2.053	1.8171	4.0061	2.7684	3.1711	1.406
Rpl30	0.7207	0.4833	0.4416	0.8063	0.4271	0.5006	0.6297	0.4638	0.7738	0.3013	0.2652	0.3543	0.3024	0.4155	0.5689	0.8273	0.4059	1.0049	0.6005	1.1609	1.0355	0.5998	0.5621	1.0292	0.9205	1.4277	0.5839
Rpl31	1.4937	1.0912	0.7763	1.1885	0.8684	0.7844	0.8377	0.9404	0.9803	0.5705	0.5182	0.7298	0.59	0.584	0.7891	0.8032	0.6612	1.2841	0.975	1.1853	1.1711	0.8994	0.8224	1.3338	1.1005	1.2518	0.5347
Rpl31-ps12	28.5392	23.4566	16.1317	24.7521	13.7006	13.8492	17.0043	16.252	21.4181	13.1936	11.5097	13.0566	9.8631	10.3651	14.0582	12.8014	12.1338	19.7188	15.1588	19.4076	21.4235	12.8911	13.5144	23.1755	19.3151	21.6058	9.722
Rpl32	36.0411	31.6334	21.3444	39.4809	17.256	17.4228	21.8598	27.8265	30.6312	17.6827	14.4583	16.4737	12.7907	13.4124	17.5124	15.8261	17.2227	27.2742	19.281	25.5108	26.6126	16.3618	16.6673	29.2476	24.4632	28.783	12.3064
Rpl34	0.1269	0.1926	0.0971	0.208	0.1721	0.1522	0.1913	0.1561	0.1157	0.1292	0.0598	0.1025	0.0746	0.2886	0.1974	0.1457	0.1291	0.2441	0.3416	0.3002	0.1637	0.1232	0.1996	0.1927	0.187	0.1826	0.0711
Rpl34-ps1	10.477	9.997	7.7995	8.2649	5.2242	5.265	6.2955	8.1353	9.7208	6.342	6.0153	4.8308	3.9393	4.4427	5.4785	4.786	7.0248	10.1399	8.1244	9.4583	8.4674	5.0237	4.8326	8.5643	7.3472	7.8455	4.2109
Rpl35	40.4748	34.276	27.1103	36.6011	19.2294	19.5545	21.0736	25.7489	30.077	18.4694	18.1825	18.4852	16.5408	15.7429	20.9448	18.8544	21.0022	31.5996	22.7457	32.0008	36.2418	18.5276	18.2609	32.8684	28.1029	34.6278	13.9361
Rpl35a	7.8602	5.9455	5.275	8.5968	3.8537	3.9103	4.3882	6.2355	7.6196	4.1076	3.3563	3.6147	2.778	3.349	3.8961	3.5055	3.6662	6.7277	4.3063	5.8449	6.085	3.7082	3.9621	6.4419	5.4475	6.4032	2.8376
Rpl36	5.6929	3.8094	3.5696	3.8684	2.8241	2.817	3.3456	4.3219	4.2266	3.0281	2.5744	2.7571	1.9763	2.4589	2.791	2.5079	2.4932	4.5396	3.4537	4.7027	4.1653	2.5761	2.6125	4.6557	3.8998	4.3022	2.0335
Rpl36a	7.4032	6.5605	5.3671	6.6976	3.6268	3.9424	4.645	5.6121	7.2924	3.9712	3.3228	3.4162	3.163	3.3625	4.0109	4.0044	3.6911	6.2996	4.4294	5.2765	5.6586	3.5892	3.4184	6.0552	5.0715	6.0611	2.707
Rpl36al	8.7448	5.4122	3.9105	6.9517	4.2252	4.2689	5.1394	5.6851	5.8486	3.1092	2.9301	4.0254	3.0707	3.2481	4.4225	3.8277	3.6062	5.8538	4.7544	7.1564	6.7192	4.4637	4.5793	7.2153	6.046	6.8229	3.0217
Rpl37	8.4389	6.334	4.9314	7.4778	4.0686	4.4476	4.4594	5.0052	5.8196	4.1113	3.7914	3.8982	2.9265	3.3704	4.1789	3.7198	3.8135	6.432	4.6021	7.1252	6.4074	3.8457	3.7876	6.8756	5.8065	7.2286	3.1434
Rpl37a	8.429	6.736	5.3516	7.4415	4.1053	4.3063	5.0767	5.783	6.0851	4.3858	4.4619	3.8804	3.3434	3.604	4.5005	3.7609	4.4176	6.5017	4.8058	6.7337	6.8919	3.9655	3.9363	6.8961	5.8584	6.6022	3.3758
Rpl38	15.7168	27.6972	6.9719	9.7777	7.6172	7.5759	8.2939	8.6862	8.4008	5.2382	5.1054	7.1984	5.2029	5.679	7.8826	7.6031	6.4591	10.933	8.3131	12.5893	12.8189	7.5366	7.2574	13.0871	11.118	12.4813	5.3844
Rpl39	22.2166	18.6857	16.796	21.5638	10.6643	11.0878	15.1709	14.7605	17.6926	10.6676	8.4898	10.1658	8.242	8.6512	11.0175	9.941	9.1291	15.853	12.0467	15.6022	16.11	10.0947	10.4265	18.0792	14.9887	18.2164	7.5643
Rpl39l	0.4047	1.9562	0.6877	4.7421	0.8621	0.8562	0.6847	0.737	1.0557	0.6438	1.1325	0.6835	0.5778	0.6377	0.8125	0.7929	0.7352	0.8986	0.8359	2.007	0.9674	1.4813	0.7823	0.8302	0.8531	0.8487	0.671
Rpl4	20.9895	16.6432	11.6217	17.3031	10.038	10.1206	11.5751	13.0998	16.096	7.8991	7.2169	9.6055	7.603	7.6086	11.4228	9.3164	8.8106	13.5223	11.3128	14.5837	15.0898	11.5672	9.992	17.1332	14.8446	18.6339	7.1766
Rpl41	14.967	9.6746	8.5485	9.5113	7.2566	7.2808	7.9186	9.5042	8.8542	6.3895	5.8435	7.0052	5.2862	5.4168	7.3889	6.6417	6.2542	10.6115	7.8939	10.4423	11.2041	6.7298	6.7358	12.2246	10.1394	11.2756	5.1746
Rpl5	6.2715	4.7805	3.47	5.1756	3.0806	3.1353	3.8877	4.2766	5.3182	2.8299	2.2712	2.9245	2.4083	2.3488	3.1464	3.043	2.9398	4.1153	3.3798	4.5306	4.6349	3.0667	3.1821	5.1543	4.3297	5.3515	2.2063
Rpl6	4.2065	3.3792	2.4053	2.8785	2.0915	2.0965	2.2029	2.1729	2.5081	1.6116	1.4945	1.9968	1.5824	1.6556	2.1794	2.075	1.8423	2.8407	2.3699	2.9608	3.1789	1.9513	1.9709	4.5142	3.0724	3.3724	1.4865
Rpl7	16.8024	13.4707	11.0112	12.7039	8.2924	8.3194	9.6207	11.8653	14.3953	10.6055	9.5749	7.7292	7.9229	6.8366	8.5783	7.3228	9.7933	14.6441	9.5359	13.8663	13.2511	7.6403	7.5444	13.6724	11.5155	13.4621	6.1714
Rpl7a	2.0819	1.3897	1.2907	1.4021	1.1037	1.0843	1.1596	1.3284	1.2795	1.1064	1.0964	0.9824	0.8025	0.9637	1.1606	1.1227	0.9594	1.4755	1.188	1.9093	1.6874	1.1677	1.0253	1.742	1.5211	1.6798	1.0402
Rpl7l1	0.4916	0.4705	0.4252	0.4961	0.5606	0.5761	0.5836	0.6277	0.6126	0.3262	0.2187	0.2859	0.2961	0.2161	0.4076	0.2956	0.2489	0.3904	0.3168	0.5553	0.4963	0.3561	0.2959	0.4968	0.4512	0.4094	0.4725
Rpl8	17.3636	13.6107	9.6426	15.0555	8.3791	8.5962	11.4529	10.6363	13.6114	6.8246	6.1705	7.9414	5.9455	6.2958	8.3568	7.9956	7.1125	11.9379	9.2162	11.8899	12.472	7.8862	8.445	14.1486	11.7765	14.0603	5.9527
Rpl9	4.6085	3.8864	2.9339	3.0796	2.293	2.6205	2.59	2.5982	2.6249	2.2291	1.9103	2.1823	1.6795	1.7118	2.4787	2.1269	2.0463	3.6543	2.6664	3.3104	3.529	2.4399	2.2206	3.9742	3.396	3.546	1.8736
Rplp0	4.5481	3.7166	3.1003	3.3088	2.3456	2.2624	2.422	2.8292	2.9278	2.22	1.7553	2.113	1.5829	1.7329	2.7813	2.062	2.0189	3.4359	2.4453	3.1965	3.4034	2.1081	2.2486	4.2565	3.1534	3.516	1.8111
Rplp1	33.0322	28.7501	20.9943	38.7863	15.7576	15.9872	23.0484	22.8147	23.3664	11.9355	10.6847	15.0971	10.9518	11.9367	17.1507	15.0322	13.137	20.4029	17.3793	22.326	24.1848	16.3508	18.0986	27.3923	22.4138	25.5058	11.1909
Rplp2	21.7313	18.3994	13.6794	25.6677	10.56	10.8156	15.0019	15.3763	19.5896	10.1952	7.8464	9.9552	7.3678	8.0573	10.512	9.8938	8.9475	14.0631	11.6591	15.8506	15.578	10.0693	11.923	17.7214	14.7442	18.1299	7.3908
